OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_2178	109.090207326861	26.0921954653522	3.13253437492013	8.32942031674194	8.12391547524128e-17	6.12854729063563e-16	Apr	427_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2182	196.322422185175	29.9768937631424	3.11063947630446	9.63689106098399	5.58539551536603e-22	1.03909433550017e-20	Apr	596_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2184	114.624458241311	29.9948132930089	3.15371738007908	9.51093889467572	1.88949363148466e-21	2.35827939322009e-20	Apr	437_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2187	601.646804459675	-3.15598680925784	1.41592862796279	-2.22891659009579	0.025819455063718	0.0444292891672355	Aug	607_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2191	458.103505272115	-9.57394749368643	1.86446593580204	-5.13495436405921	2.82212495715408e-07	9.05406249811472e-07	Aug	265_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2192	274.24806173793	11.196296500091	2.0197547710312	5.54339401034053	2.96664276002103e-08	1.03604832162246e-07	Apr	225_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_22	2985.39079161919	14.7629977361935	1.02111786574226	14.4576823415602	2.2422157189653e-47	2.88368438986929e-45	Apr	494_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_220	2252.51084191367	3.06044416407006	1.09763986723482	2.78820426938386	0.00530011130382777	0.0100691902612219	Apr	196_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2201	65.347525892708	24.2268659491214	3.14469494078737	7.70404328728161	1.3182716072085e-14	7.20785104274072e-14	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2202	83.0722469966947	20.6492104919582	3.15371879585392	6.54757504667345	5.84788367155921e-11	2.40250554173224e-10	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2209	187.739883191399	26.5887972577583	3.11064987328504	8.54766635297303	1.25602183342316e-17	1.05548652933685e-16	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_221	345.550062277994	14.4193654775023	3.15371470074775	4.57218450168732	4.82665645805943e-06	1.35973807647046e-05	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2210	86.0053422279556	29.5787002986773	3.14469586086424	9.40590174928663	5.15859451589955e-21	6.07933170439477e-20	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2213	7279.85627649912	0.616708912838249	0.197164571116139	3.12788909968505	0.0017606660088997	0.00359671965077714	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2214	298.265534347823	-11.2725886450487	2.55379629549333	-4.41405160816522	1.01453756746063e-05	2.71093236183247e-05	Aug	544_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2215	578.510160130559	6.80199541106837	1.64312662516583	4.13966599219453	3.47811855967101e-05	8.79714909978969e-05	Apr	154_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2217	307.904190611161	12.0395436621927	2.33983594609651	5.14546486999569	2.66859139658889e-07	8.59879450011976e-07	Apr	713_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2221	152.097759304067	26.2906906341609	3.11719602790053	8.43408319491154	3.33809197990621e-17	2.68317284689201e-16	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2223	1099.12912768609	1.24360475746934	0.314581235137143	3.95320705294829	7.71106556969698e-05	0.000186503123100275	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2229	1031.85595577698	-29.4008566354256	3.13781206543657	-9.36985900439355	7.26294845901873e-21	8.3921099772568e-20	Aug	36_0	Clustered	both	Caudovirales	Podoviridae	Mixed	Proteobacteria	Mixed	Mixed	Mixed	Mixed
biochar_2230	130.983716914146	29.7751520892469	3.11698347570662	9.55255371782067	1.2653796832846e-21	1.79951591497877e-20	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2231	66.0256826756595	23.9913434372821	3.1447001070527	7.62913556795961	2.36333012157217e-14	1.26186471112102e-13	Apr	714_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2232	69.8326713250886	24.7784925112714	3.14469449827547	7.87945936397312	3.28800603319344e-15	1.94908253430585e-14	Apr	490_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2233	98.3452943894036	29.9868098560975	3.13806763596667	9.55582012076682	1.22608924242153e-21	1.76704905732294e-20	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2238	373.391191436383	13.3747365626006	1.77471899897206	7.536255920147	4.83656956127385e-14	2.50391037118487e-13	Apr	283_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2239	539.677652479923	2.76601583073804	1.11244164242603	2.48643679384912	0.012902948785771	0.0233579697113283	Apr	604_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2240	193.741715881066	9.86211883983787	3.05425446382118	3.2289774662388	0.00124233683312493	0.00257882972097091	Apr	304_1	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2247	198.020253756673	-7.2381461144305	3.04886667000806	-2.37404481659782	0.0175944147848831	0.0313519752612555	Aug	332_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2249	676.08305828973	1.90855753415654	0.811821691277124	2.35095656430918	0.0187252195645717	0.0332045754692368	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2252	70.3067999998347	22.2676676548327	3.14469939910279	7.08101628447727	1.4310108354736e-12	6.44281590765737e-12	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2253	161.998117924112	-28.7916977343723	3.11062921443175	-9.25590796897083	2.12417253221951e-20	2.33580013022502e-19	Aug	265_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2255	232.190287810926	26.1689047188468	3.14469071792806	8.32161476791861	8.67729404358031e-17	6.44910446756546e-16	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2264	1212.29478006774	0.726964481001264	0.248535897586647	2.9249878510923	0.0034446967107898	0.00668596645046996	Apr	517_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2269	377.937713483242	7.67825198805454	1.87181772077599	4.10202975579876	4.09541589404215e-05	0.000102576123747474	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_227	2505.18042971725	1.82683413784721	0.823992096574338	2.21705298563189	0.0266194709801443	0.0456466058894301	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2271	122.850023419551	-23.3880289542009	3.14469532584494	-7.4372956775763	1.0276735832045e-13	5.05800076392497e-13	Aug	384_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2280	18565.4996743614	-2.29156818963936	0.259674517723563	-8.82477113938014	1.0968388222444e-18	1.01389038631217e-17	Aug	44_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2281	85.4635804225663	-24.5325798950606	3.13253793031421	-7.83153482601244	4.81949805540143e-15	2.82298519759949e-14	Aug		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2283	127.394256878762	-25.2399912570923	3.0995750277942	-8.14304897631539	3.85446257391772e-16	2.60308225882389e-15	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2284	614.001899594433	-12.0740730357514	1.76259733985165	-6.85015957006243	7.37676576701379e-12	3.16697723350171e-11	Aug	658_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2291	484.925496984968	12.159414826796	1.11402932372691	10.9148067899303	9.79373222817684e-28	2.75903427913782e-26	Apr	596_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2295	8521.81611731855	-1.09409137537859	0.186248567844445	-5.87436127988042	4.24476750122047e-09	1.55588875695293e-08	Aug	643_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2297	408.674147340111	11.6201136443938	1.81898681964425	6.38823410862668	1.67812297195033e-10	6.71703349259686e-10	Apr	371_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2299	71.633343396058	24.2941798653891	3.1446991889752	7.72543839822917	1.11469038111775e-14	6.12872518094109e-14	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_23	774.310658387697	24.6629023070448	2.8274143631982	8.72277605576976	2.71462828196815e-18	2.40415283175503e-17	Apr	659_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_230	508.548500170331	28.3270633551297	3.14206875629214	9.01541804214293	1.96121023627808e-19	2.02134490554375e-18	Apr	44_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
