OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	SpatialEnrichment	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_1339	337.857336444065	4.89622268468183	1.51714761312019	3.22725530616772	0.00124983888635629	0.00436484465860911	East-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1341	183.394735961571	-9.42845769723038	1.57231791695699	-5.99653390421062	2.01573540764165e-09	1.56087574235707e-08	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1342	7014.16661285929	-0.30698343356213	0.103969146207307	-2.95263974708445	0.00315069422352306	0.0103552816813125	West-Enriched	Apr	492_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1353	727.76431148457	3.22639732955288	1.16616826409795	2.76666535086046	0.00566328568431868	0.0177645801211184	East-Enriched	Apr	207_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1358	997.651445026798	7.25515889508674	1.54345467626482	4.70059730723308	2.59401609421366e-06	1.58863345894079e-05	East-Enriched	NS	644_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1359	393.508487710301	-5.43396948024729	0.836114991229822	-6.49906955053467	8.08182943788881e-11	8.07636874232267e-10	West-Enriched	NS	238_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1360	302.528515239472	5.30690541316343	1.43527021021179	3.69749568785403	0.000217736916972294	0.0008386273442761	East-Enriched	NS	645_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1369	508.700103444456	3.7885371699828	1.03375114744026	3.6648444641284	0.000247488940040104	0.000937352477130125	East-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1376	127.609623533143	6.2930787192774	1.57231677755024	4.00242419920138	6.26967578431197e-05	0.000280146540332248	East-Enriched	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1384	124.489595066864	-12.7624154850238	1.57678029039195	-8.09397197744738	5.77499805188965e-16	9.75346282194814e-15	West-Enriched	Apr	283_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1387	1008.81533493028	-6.54888503392851	0.789859540873781	-8.29120203660997	1.12109669852063e-16	2.09886331280001e-15	West-Enriched	NS	44_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1389	123.063680091183	6.02996173285892	1.56624215301466	3.8499549518908	0.000118139551314883	0.000470376319982205	East-Enriched	NS	126_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_139	8104.88575677284	-15.2664878318077	1.57677927246737	-9.68207034325003	3.59363745858213e-22	1.20795222755522e-20	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1393	196.42839048735	-15.3155672158174	1.57682726834792	-9.71290104074871	2.65665998401529e-22	9.03264394565197e-21	West-Enriched	Aug	697_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1398	724.25876775003	-6.0845954121548	0.773911960929197	-7.86212866493151	3.77659809393226e-15	5.84878385437258e-14	West-Enriched	NS	238_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_140	615.644978600633	-18.6805257549328	1.42309131809684	-13.1267231535887	2.31457302260575e-39	2.13953343777119e-37	West-Enriched	Aug		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1407	167.512213236857	-9.92242347359742	1.57231854650979	-6.31069543485516	2.7778438058879e-10	2.51280182807841e-09	West-Enriched	Aug	341_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1411	1161.25438739314	-6.72854768480566	0.492662343354721	-13.6575238103008	1.82070278213647e-42	2.2440161789832e-40	West-Enriched	NS	271_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1415	146.353734077357	6.57229716303031	1.55857218754263	4.21687055342153	2.4771607725788e-05	0.000132503464110092	East-Enriched	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_142	3420.62759344509	-0.405894482381968	0.137550722976037	-2.95087131205177	0.00316878911340346	0.0104031944477774	West-Enriched	Apr	177_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1421	1575.42949310551	-5.13707612072	1.29879958153598	-3.95524928845822	7.64548880156926e-05	0.000324467085725134	West-Enriched	NS	432_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1422	150.709969777429	-12.2039267568304	1.57682749041914	-7.7395446432675	9.97735013055513e-15	1.49812191300417e-13	West-Enriched	Aug	382_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1423	611.436550579965	-5.80011410812622	1.44740736029885	-4.0072437568154	6.1431453060376e-05	0.000277850517052893	West-Enriched	NS	200_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1427	133.06802133599	6.37199061357838	1.56624011518029	4.0683357244013	4.73501257665015e-05	0.000228858941204757	East-Enriched	Apr	150_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1430	157.451773620633	-14.3737450734964	1.5689961566366	-9.16110916696502	5.13666003373893e-20	1.48963140978429e-18	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1433	506.07604226029	-5.51043865756863	1.05777721003773	-5.20945110679033	1.89400108923602e-07	1.27618569976313e-06	West-Enriched	NS	308_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1438	399.881260623068	5.30662126041207	1.19160988497804	4.45332094614998	8.45522215552233e-06	4.90402885020295e-05	East-Enriched	NS	388_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1451	107.695643230999	-13.5981744885641	1.57231603714295	-8.64849951748461	5.21809731003875e-18	1.22501046373767e-16	West-Enriched	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1456	269.659607905468	5.11353836630049	1.46131570731787	3.4992701034371	0.000466533722766376	0.00171004554144107	East-Enriched	NS	307_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1460	104.869185199497	6.34238525101896	1.56624189512716	4.04942893607378	5.13427652580854e-05	0.000244560224852523	East-Enriched	Apr	85_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1465	518.229286792699	-2.14615512573808	0.88655791320138	-2.42077262385293	0.0154875612235171	0.0446512730011341	West-Enriched	Aug	127_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
biochar_147	2247.40327264321	-7.23318823965348	1.46622114237292	-4.93321780092963	8.08858735249113e-07	5.25847063487225e-06	West-Enriched	NS	346_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1473	786.782116039491	5.35176995157951	0.709576922290218	7.54219843326673	4.62113848485502e-14	6.29922932635997e-13	East-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1476	166.1163871256	6.33035603869526	1.57231591119579	4.02613494757606	5.67011560671366e-05	0.000266648679883291	East-Enriched	Aug		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1478	1098.68799223017	3.59188281822875	0.823742673159711	4.36044281213575	1.29799503086532e-05	7.3272314910298e-05	East-Enriched	Aug	79_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Gammaproteobacteria	Mixed	Mixed	Mixed
biochar_148	10257.3572151309	5.98723746698706	0.945381046116782	6.3331473500342	2.40209955065082e-10	2.24145440720036e-09	East-Enriched	NS	430_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
