,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
235,VC_29_13,4,1800.0,32640.34724054443,0.05226428140889864,7.492895448299873e-05,4.242640687119285,8.660254037844387,6,6,1.0,6.8033142239918005,1,2,2,"Synechococcus~phage~ACG-2014e,Synechococcus~phage~ACG-2014i,Synechococcus~phage~ACG-2014j,Synechococcus~phage~S-CAM4"
236,VC_29_15,2,300.0,17579.290306221632,0.016779189490290117,0.06118389788645216,8.366600265340756,8.366600265340756,1,1,1.0,8.366600265340756,1,2,2,"Synechococcus~phage~S-CAM1,Synechococcus~phage~S-CAM3"
237,VC_29_28,2,300.0,20400.383045513863,0.014492485445336495,0.05818249579279431,5.656854249492381,5.656854249492381,1,1,1.0,5.656854249492381,1,1,1,"Prochlorococcus~phage~P-SSM3,Prochlorococcus~phage~P-SSM4"
238,VC_29_29,2,300.0,20965.528057763615,0.014107338373404561,0.0817720738316412,6.4031242374328485,6.4031242374328485,1,1,1.0,6.4031242374328485,1,1,1,"Cyanophage~P-RSM1,Synechococcus~phage~metaG-MbCM1"
239,VC_29_3,2,300.0,22401.82997311383,0.013214793712898704,0.12434587690528942,7.810249675906654,7.810249675906654,1,1,1.0,7.810249675906654,1,2,2,"Cyanophage~S-RIM50,Synechococcus~phage~S-RIM8~A.HR1"
240,VC_29_32,2,300.0,22297.088623378804,0.013276046529711882,0.1296940527822179,8.774964387392123,8.774964387392123,1,1,1.0,8.774964387392123,1,1,1,"Synechococcus~phage~S-SM1,Synechococcus~phage~S-SSM5"
241,VC_29_4,3,900.0,32839.06469682286,0.026675309706636625,0.019970378822796054,8.0,9.055385138137417,3,2,0.6666666666666666,8.473995134492725,1,2,2,"Synechococcus~phage~S-CAM22,Synechococcus~phage~S-IOM18,Synechococcus~phage~S-RIM2~R1_1999"
242,VC_29_6,6,4500.0,60244.16567885802,0.06950433220995941,6.020366810125957e-07,5.385164807134504,8.774964387392123,15,15,1.0,7.715873432151764,1,2,1,"Prochlorococcus~phage~Syn33,Synechococcus~phage~ACG-2014b,Synechococcus~phage~ACG-2014c,Synechococcus~phage~ACG-2014g,Synechococcus~phage~S-CAM8,Synechococcus~phage~S-MbCM100"
243,VC_2_0,46,206968.7018153845,1366.5015648548547,0.9934408513650916,2.0051739406105315e-197,2.449489742783178,7.874007874011811,1035,1035,1.0,6.431445531139161,2,2,2,"Mycobacterium~phage~Abrogate,Mycobacterium~phage~Aeneas,Mycobacterium~phage~Alsfro,Mycobacterium~phage~Alvin,Mycobacterium~phage~Barriga,Mycobacterium~phage~CASbig,Mycobacterium~phage~DD5,Mycobacterium~phage~Dreamboat,Mycobacterium~phage~Edtherson,Mycobacterium~phage~Gompeii16,Mycobacterium~phage~Graduation,Mycobacterium~phage~HanShotFirst,Mycobacterium~phage~Lamina13,Mycobacterium~phage~Makemake,Mycobacterium~phage~Nerujay,Mycobacterium~phage~Nhonho,Mycobacterium~phage~Papez,Mycobacterium~phage~Pari,Mycobacterium~phage~PattyP,Mycobacterium~phage~Pepe,Mycobacterium~phage~PhrostyMug,Mycobacterium~phage~Pinto,Mycobacterium~phage~RidgeCB,Mycobacterium~phage~Rufus,Mycobacterium~phage~Sarfire,Mycobacterium~phage~Seabiscuit,Mycobacterium~phage~SkiPole,Mycobacterium~phage~Solon,Mycobacterium~phage~Tasp14,Mycobacterium~phage~TheloniousMonk,Mycobacterium~phage~Trouble,Mycobacterium~phage~Turj99,Mycobacterium~phage~U2,Mycobacterium~phage~Violet,Mycobacterium~phage~Wheeler,Mycobacterium~virus~Bethlehem,Mycobacterium~virus~Billknuckles,Mycobacterium~virus~Bruns,Mycobacterium~virus~Bxb1,Mycobacterium~virus~Doom,Mycobacterium~virus~Euphoria,Mycobacterium~virus~Jasper,Mycobacterium~virus~KBG,Mycobacterium~virus~Kugel,Mycobacterium~virus~Lockley,Mycobacterium~virus~Perseus"
244,VC_300_0,2,188.73718053053375,2448.1427545920055,0.07157594777699383,0.05245777218559852,6.4031242374328485,6.4031242374328485,1,1,1.0,6.4031242374328485,1,1,1,"Vibrio~phage~pVp-1,Vibrio~phage~phi~3"
245,VC_301_0,15,14737.442995663478,40.400003494314944,0.9972661772427399,6.948485623017217e-12,2.23606797749979,5.656854249492381,105,105,1.0,4.2183413561284855,2,1,1,"Lactococcus~phage~340,Lactococcus~phage~P680,Lactococcus~phage~jm2,Lactococcus~phage~jm3,Lactococcus~phage~phi7,Lactococcus~virus~712,Lactococcus~virus~ASCC191,Lactococcus~virus~Bibb29,Lactococcus~virus~CB13,Lactococcus~virus~CB14,Lactococcus~virus~P008,Lactococcus~virus~Sl4,Lactococcus~virus~bIL170,Lactococcus~virus~jj50,Lactococcus~virus~sk1"
246,VC_302_0,3,49.63779896121571,87.91456891893449,0.36086473629058335,0.00526661801326924,5.291502622129181,6.6332495807108,3,3,1.0,5.8006592592972135,1,1,1,"biochar_2057,biochar_2981,biochar_824"
247,VC_303_0,4,93.63907733343719,146.09953293271434,0.3905882211859055,0.005880323144122767,3.7416573867739413,7.615773105863909,6,6,1.0,6.418251993403325,1,1,1,"biochar_1531,biochar_1832,biochar_2141,biochar_866"
248,VC_304_0,2,148.34874428112306,247.25924151231547,0.3749892560525343,0.053268463808059476,8.0,8.0,1,1,1.0,8.0,1,1,1,"biochar_33,biochar_53"
249,VC_304_1,7,283.49798099846515,343.64556689762685,0.4520463966336402,0.4339668013549441,3.7416573867739413,10.392304845413264,21,18,0.8571428571428571,7.6710101326425235,1,1,1,"biochar_1809,biochar_2240,biochar_395,biochar_46,biochar_50,biochar_793,biochar_96"
250,VC_305_0,7,156.50122424754642,88.93908189262852,0.6376345707382146,4.43226583995888e-05,2.23606797749979,6.6332495807108,21,21,1.0,5.402484605494162,1,1,1,"biochar_1291,biochar_1919,biochar_1926,biochar_2485,biochar_2696,biochar_335,biochar_3754"
251,VC_307_0,4,198.45111845288193,220.919160920888,0.4732121664635406,9.537820004301708e-05,4.123105625617661,5.385164807134504,6,6,1.0,4.908362436758534,1,1,1,"biochar_1328,biochar_1340,biochar_1456,biochar_3987"
252,VC_308_0,2,112.99342675448713,188.86507753289416,0.3743258021543528,0.059216464458336004,3.4641016151377544,3.4641016151377544,1,1,1.0,3.4641016151377544,1,1,1,"biochar_1433,biochar_1667"
253,VC_309_0,2,9.745521122163037,89.21727102988027,0.09847661843645565,0.12325234648777739,4.69041575982343,4.69041575982343,1,1,1.0,4.69041575982343,1,1,1,"biochar_1593,biochar_4472"
