pos_module,pos_cluster,sig,id_module,size_module,pos_module,proteins,annotated_proteins,id_cluster,size_cluster,pos_cluster,pos_genus,precision_genus,pos_family,precision_family,pos_order,precision_order
785,397,5.413416813706567,MD_0785,2,785,9.0,9.0,CC_0397,4,397,,0.0,15.0,1.0,0.0,1.0
786,589,1.8335125964867487,MD_0786,2,786,14.0,15.0,CC_0589,3,589,,0.0,,0.0,,0.0
787,25,4.959636063922408,MD_0787,2,787,36.0,37.0,CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
788,63,18.371806566586436,MD_0788,2,788,17.0,17.0,CC_0063,19,63,242.0,1.0,17.0,1.0,0.0,1.0
788,257,7.067202950200361,MD_0788,2,788,17.0,17.0,CC_0257,10,257,79.0,0.6666666666666666,12.0,1.0,0.0,1.0
789,49,4.249286882813161,MD_0789,2,789,31.0,31.0,CC_0049,9,49,128.0,1.0,17.0,1.0,0.0,1.0
790,419,3.9254035904431532,MD_0790,2,790,19.0,19.0,CC_0419,4,419,,0.0,15.0,1.0,0.0,1.0
793,69,8.891026135751408,MD_0793,2,793,17.0,18.0,CC_0069,9,69,216.0,1.0,17.0,1.0,0.0,1.0
794,113,3.1171974109450975,MD_0794,2,794,7.0,8.0,CC_0113,13,113,,0.0,,0.0,,0.0
796,5,1.307468564300553,MD_0796,2,796,7.0,7.0,CC_0005,7,5,209.0,0.8571428571428571,12.0,1.0,0.0,1.0
797,448,2.0939554197244536,MD_0797,2,797,5.0,6.0,CC_0448,6,448,,0.0,12.0,1.0,,0.0
800,503,1.5755654375892103,MD_0800,2,800,11.0,12.0,CC_0503,4,503,,0.0,,0.0,,0.0
801,29,3.8868309450811687,MD_0801,2,801,18.0,18.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
803,14,2.274895057099929,MD_0803,2,803,22.0,23.0,CC_0014,37,14,177.0,1.0,17.0,1.0,0.0,1.0
808,64,1.4829238213774243,MD_0808,2,808,18.0,19.0,CC_0064,3,64,,0.0,,0.0,,0.0
809,198,4.969983503964153,MD_0809,2,809,8.0,9.0,CC_0198,5,198,,0.0,12.0,1.0,0.0,1.0
809,626,5.668689318810049,MD_0809,2,809,8.0,9.0,CC_0626,4,626,249.0,1.0,15.0,0.75,0.0,1.0
811,183,1.562105067427745,MD_0811,2,811,17.0,17.0,CC_0183,3,183,,0.0,,0.0,,0.0
811,575,6.7444178932069665,MD_0811,2,811,17.0,17.0,CC_0575,5,575,,0.0,12.0,1.0,0.0,1.0
814,72,7.25605850387408,MD_0814,2,814,34.0,35.0,CC_0072,29,72,159.0,1.0,12.0,1.0,0.0,1.0
815,161,5.969719314470154,MD_0815,2,815,7.0,7.0,CC_0161,4,161,,0.0,12.0,1.0,0.0,1.0
817,97,2.712027275395803,MD_0817,2,817,7.0,7.0,CC_0097,16,97,,0.0,,0.0,,0.0
818,5,3.6486891964440478,MD_0818,2,818,10.0,10.0,CC_0005,7,5,209.0,0.8571428571428571,12.0,1.0,0.0,1.0
819,448,4.794024337134765,MD_0819,2,819,7.0,7.0,CC_0448,6,448,,0.0,12.0,1.0,,0.0
822,397,2.2487335703155473,MD_0822,2,822,7.0,10.0,CC_0397,4,397,,0.0,15.0,1.0,0.0,1.0
823,304,11.655160838561903,MD_0823,2,823,24.0,24.0,CC_0304,10,304,,0.0,,0.0,,0.0
823,385,1.0884034719680544,MD_0823,2,823,24.0,24.0,CC_0385,3,385,,0.0,,0.0,,0.0
823,568,1.0884034719680544,MD_0823,2,823,24.0,24.0,CC_0568,3,568,,0.0,,0.0,,0.0
